NodeId,SocketId,TotalMemoryRequest(MiB),NumberOfThreads,AvgTime(S),SDTime,Bandwidth(MB/s),SDBandwidth,AvgEnergyUsage(J),SDEnergyUsage,AvgPowerUsage(W),SDPowerUsage,AccessFrequency(line/s),SDAccessFrequency
coop1,-,1584.000000,160,0.010434,0.005764,195436.173881,44418.634410,6.757751,2.416917,597.902659,48.134023,3053690216.890371,694041162.662360
coop1,-,1584.000000,162,0.010479,0.004341,182390.596741,817.870295,6.847723,1.909277,586.882945,40.140056,2849853074.083211,12779223.354035
coop1,-,1584.000000,164,0.008978,0.002403,202103.320396,306.076631,6.174244,1.173234,592.536361,39.089493,3157864381.194935,4782447.359658
coop1,-,1584.000000,166,0.013444,0.007688,158842.407294,58460.500895,8.660356,3.680143,568.137617,61.917111,2481912613.972920,913445326.483650
coop1,-,1584.000000,168,0.013520,0.008542,164321.843079,55148.299323,8.478538,4.575958,576.765463,59.611964,2567528798.112339,861692176.921958
coop1,-,1584.000000,170,0.008646,0.000117,192927.645953,535.641125,6.120078,0.157269,624.204297,26.759926,3014494468.013435,8369392.582514
coop1,-,1584.000000,172,0.023380,0.009819,97654.108617,66081.018777,13.278265,5.251945,517.058144,68.035084,1525845447.140736,1032515918.391964
coop1,-,1584.000000,174,0.009340,0.000197,178946.139216,1439.798527,6.451250,0.189360,612.911179,29.735379,2796033425.249350,22496851.992011
coop1,-,1584.000000,176,0.008622,0.000669,197490.928601,832.953680,5.968695,0.323275,603.984486,27.899501,3085795759.397837,13014901.251651
coop1,-,1584.000000,178,0.008790,0.000552,192779.087736,231.684775,6.193604,0.287222,614.733251,19.738348,3012173245.867495,3620074.607329
coop1,-,1584.000000,180,0.010103,0.004507,191415.106235,383.493501,6.690125,1.973120,608.874585,43.144492,2990861034.915530,5992085.952015
coop1,-,1584.000000,182,0.008510,0.000206,196660.117197,744.182005,6.086287,0.110048,615.656420,30.086500,3072814331.206757,11627843.833082
coop1,-,1584.000000,184,0.008276,0.000559,205068.157401,416.294083,6.006814,0.291269,632.228449,37.578823,3204189959.390033,6504595.047596
coop1,-,1584.000000,186,0.008078,0.000213,207322.584964,834.860201,5.872847,0.201302,634.110838,22.669212,3239415390.059520,13044690.634629
coop1,-,1584.000000,188,0.008305,0.000459,203545.600903,627.569681,6.035034,0.282759,610.177580,34.619051,3180400014.104624,9805776.258961
coop1,-,1584.000000,190,0.007986,0.000564,212724.623092,471.883047,5.924994,0.318399,645.647839,9.637888,3323822235.805736,7373172.609659
coop1,-,1584.000000,192,0.009416,0.002561,192986.191463,370.110626,6.504583,1.137533,589.175733,34.130247,3015409241.604550,5782978.531466
