NodeId,SocketId,CPUId,NumberOfThreads,CacheLineSize(B),Time(S),LLCMisses,Bandwidth(MB/s),TotalFLOP,FLOPS
coop1,0,-,48,64,35.0474,4275196525,7806.92,540245170673,15414721138
coop1,1,-,48,64,35.3811,4259994318,7705.77,540245170680,15269300576
coop1,2,-,48,64,35.4388,4258506597,7690.56,540245170666,15244469802
coop1,3,-,48,64,35.3204,4247226051,7695.89,540245170666,15295553277
