NodeId,SocketId,PowerLimit(W),Bandwidth(Job),PeakBandwidth,Utility,Throughput(MB/s),Score
coop1,3,139,402.241000,81755.900000,0.004920,56378.090000,0.004920
coop1,1,139,430.799000,81106.000000,0.005312,51828.320000,0.004883
coop1,2,139,461.221000,81178.400000,0.005682,43462.090000,0.004380
coop1,0,139,401.387000,80737.700000,0.004971,35170.200000,0.003101
