NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),FLOP,uJ/FLOP,Score
coop1,1,-,48,45,2334992793073.000000,0.016979,-39645842633.586472
coop1,3,-,48,45,2334903814336.000000,0.020080,-46884868591.866882
coop1,2,-,48,45,2334992793079.000000,0.020093,-46917010191.336349
coop1,0,-,48,45,2334992401558.000000,0.025027,-58437854833.792068
