NodeId,SocketId,TotalMemoryRequest(MiB),NumberOfThreads,AvgTime(S),SDTime,Bandwidth(MB/s),SDBandwidth,AvgEnergyUsage(J),SDEnergyUsage,AvgPowerUsage(W),SDPowerUsage,AccessFrequency(line/s),SDAccessFrequency
coop1,0,396.000000,2,0.030441,0.000871,13764.592260,52.540838,3.909291,0.093068,123.628912,1.937095,215071754.057879,820950.590336
coop1,0,396.000000,4,0.015860,0.000701,26552.429884,87.994020,2.341359,0.110823,135.657783,3.677929,414881716.945215,1374906.558248
coop1,0,396.000000,6,0.011091,0.000233,37689.464691,95.959124,1.791665,0.057648,148.222071,4.759758,588897885.802119,1499361.316298
coop1,0,396.000000,8,0.008718,0.000569,48631.384817,112.841090,1.501881,0.079151,152.565902,10.837312,759865387.765681,1763142.025178
coop1,0,396.000000,10,0.007233,0.000361,58329.314849,299.972870,1.319147,0.106730,150.070638,9.567396,911395544.515373,4687076.099709
coop1,0,396.000000,12,0.006419,0.000305,65673.303202,156.570094,1.222024,0.144517,158.776362,14.749689,1026145362.535617,2446407.710972
coop1,0,396.000000,14,0.005994,0.000189,69967.270609,274.553104,1.190319,0.079553,162.168828,12.954981,1093238603.270165,4289892.243281
coop1,0,396.000000,16,0.005716,0.000153,73253.988914,343.735390,1.112987,0.064554,157.586930,12.467136,1144593576.784731,5370865.471230
coop1,0,396.000000,18,0.005537,0.000118,75492.778890,269.109331,1.079468,0.075337,163.947820,20.194111,1179574670.156320,4204833.300488
coop1,0,396.000000,20,0.007798,0.007802,77901.398729,432.342161,1.335311,0.879763,162.127903,20.325269,1217209355.141845,6755346.267638
coop1,0,396.000000,22,0.005428,0.000147,77150.686260,257.960272,1.074613,0.081135,164.547628,10.658075,1205479472.810234,4030629.257061
coop1,0,396.000000,24,0.006285,0.003460,80000.280715,269.075139,1.165988,0.381890,165.318740,18.410953,1250004386.166775,4204299.048860
coop1,0,396.000000,26,0.005213,0.000097,80106.847577,486.509104,1.051902,0.061776,166.388693,17.262617,1251669493.393082,7601704.745047
coop1,0,396.000000,28,0.005169,0.000079,80711.758978,325.431867,1.062200,0.058589,165.206035,11.592227,1261121234.029353,5084872.920682
coop1,0,396.000000,30,0.005212,0.000089,80096.998469,262.447299,1.062666,0.063249,166.086276,17.607942,1251515601.078114,4100739.052961
coop1,0,396.000000,32,0.005196,0.000106,80304.086350,1160.657499,1.056219,0.061038,166.315632,7.289097,1254751349.213376,18135273.421434
coop1,0,396.000000,34,0.005252,0.000070,79345.492927,627.602051,1.084761,0.071608,167.173547,18.144113,1239773326.984807,9806282.049376
coop1,0,396.000000,36,0.005219,0.000127,80176.760891,139.401992,1.054765,0.060426,164.238602,14.196458,1252761888.928071,2178156.128508
coop1,0,396.000000,38,0.005198,0.000092,80331.372696,148.380985,1.047558,0.058368,165.607015,16.067273,1255177698.382636,2318452.896743
coop1,0,396.000000,40,0.005209,0.000209,80737.708966,238.240448,1.064015,0.082456,162.869929,9.749231,1261526702.593230,3722506.998444
coop1,0,396.000000,42,0.005234,0.000088,79755.118303,191.268009,1.083763,0.076706,166.512775,16.821964,1246173723.477330,2988562.634329
coop1,0,396.000000,44,0.005358,0.000050,77717.200670,169.330313,1.063804,0.064427,165.586013,13.977341,1214331260.475394,2645786.146205
coop1,0,396.000000,46,0.006000,0.002498,79695.291016,97.255401,1.183455,0.307947,162.740504,16.696054,1245238922.121772,1519615.645587
coop1,0,396.000000,48,0.005263,0.000033,79039.606514,201.356784,1.112682,0.075353,173.247268,12.314755,1234993851.775143,3146199.752495
