NodeId,SocketId,PowerLimit(W),Bandwidth(Job),PeakBandwidth,Utility,Throughput(MB/s),Score
coop1,3,149,4204.570000,81755.900000,0.051428,72191.190000,0.051428
coop1,1,149,4235.910000,81106.000000,0.052227,67137.120000,0.048570
coop1,2,149,4192.370000,81178.400000,0.051644,61175.190000,0.043763
coop1,0,149,4254.830000,80737.700000,0.052699,51518.200000,0.037608
