NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),FLOP,uJ/FLOP,Score
coop1,1,-,48,157,146811788466.000000,0.003897,-572125539.652002
coop1,2,-,48,157,146811788301.000000,0.004260,-625418218.162260
coop1,3,-,48,157,146811788301.000000,0.004402,-646265492.101002
coop1,0,-,48,157,146811788302.000000,0.004641,-681353509.509582
