NodeId,SocketId,CPUId,NumberOfThreads,CacheLineSize(B),Time(S),LLCMisses,Bandwidth(MB/s),TotalFLOP,FLOPS
coop1,0,-,48,64,37.0574,2463652913,4254.83,2334992401558,63010195005
coop1,1,-,48,64,37.2949,2468420955,4235.91,2334992793073,62608910920
coop1,2,-,48,64,37.5017,2456583007,4192.37,2334992793079,62263634752
coop1,3,-,48,64,37.4661,2461399633,4204.57,2334903814336,62320392327
