NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),FLOPS(Job),PeakFLOPS,Utility,Throughput(FLOPS),Score
coop1,3,-,48,90,57895784665.000000,46204195073.298294,1.253042,28025692662.214275,1.253042
coop1,1,-,48,90,57496747596.000000,42754415266.017265,1.344814,25718909672.963177,1.234123
coop1,2,-,48,90,57432306546.000000,48524904956.518646,1.183564,27773848563.655586,1.172928
coop1,0,-,48,90,57829636784.000000,44162237379.040298,1.309482,24372235966.936359,1.138776
