NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),IdleCPUPower(W),AvgTime(S),SDTime,AvgEnergyUsage(J),SDEnergy,AvgPowerConsumption(W),SDPowerConsumption,TotalFLOP,AvgFLOPS,SDFLOPS,AvguJ/FLOP,SDuJ/FLOP
coop1,0,-,48,157,37.294950,0.785051,0.011707,125.110340,4.053103,159.250047,7.841955,26957817117,34346892913.524437,533233313.127988,0.004641,0.000150
coop1,1,-,48,157,33.656803,0.656161,0.011129,105.058087,4.465661,159.905938,9.974342,26957817117,41096549699.778000,730000093.783917,0.003897,0.000166
coop1,2,-,48,157,34.803301,0.722005,0.007175,114.839172,2.884344,158.480723,5.699369,26957817117,37341213280.792709,381054712.010073,0.004260,0.000107
coop1,3,-,48,157,34.998601,0.748696,0.008198,118.680884,2.501029,158.233489,5.123953,26957817117,36010720874.920273,399798343.044030,0.004402,0.000093
