NodeId,SocketId,TotalMemoryRequest(MiB),NumberOfThreads,AvgTime(S),SDTime,Bandwidth(MB/s),SDBandwidth,AvgEnergyUsage(J),SDEnergyUsage,AvgPowerUsage(W),SDPowerUsage,AccessFrequency(line/s),SDAccessFrequency
coop1,3,396.000000,2,0.030158,0.000232,13759.314795,105.969930,3.605280,0.059590,113.636475,1.277631,214989293.670990,1655780.155946
coop1,3,396.000000,4,0.015685,0.000162,26530.955521,219.017829,2.166121,0.062285,124.809693,3.912208,414546180.021188,3422153.579451
coop1,3,396.000000,6,0.019509,0.012369,29974.054075,12128.628766,2.653370,1.503769,125.074194,11.878404,468344594.920507,189509824.462867
coop1,3,396.000000,8,0.008526,0.000092,48834.940935,343.441738,1.410817,0.036512,136.388403,6.520156,763045952.102535,5366277.162517
coop1,3,396.000000,10,0.007260,0.000435,58292.869410,500.145214,1.298223,0.073935,147.477541,7.137486,910826084.533316,7814768.969562
coop1,3,396.000000,12,0.006454,0.000139,64753.892317,483.977350,1.183388,0.034922,148.191654,6.108793,1011779567.457331,7562146.088988
coop1,3,396.000000,14,0.005964,0.000149,70163.861491,428.240656,1.136863,0.057412,149.579617,10.712919,1096310335.792048,6691260.242365
coop1,3,396.000000,16,0.005647,0.000118,74012.450817,392.878835,1.102145,0.053421,155.557916,7.745630,1156444544.019989,6138731.789241
coop1,3,396.000000,18,0.005498,0.000171,76271.361996,155.794074,1.070890,0.042154,147.676849,8.874347,1191740031.187450,2434282.398628
coop1,3,396.000000,20,0.005587,0.000784,77775.528814,466.511860,1.074774,0.091259,146.546035,6.599262,1215242637.713371,7289247.815218
coop1,3,396.000000,22,0.005431,0.000100,76896.325228,354.765170,1.074946,0.047380,151.863695,9.391411,1201505081.681109,5543205.777535
coop1,3,396.000000,24,0.005249,0.000154,79836.742217,496.604076,1.017190,0.046714,154.130535,13.740347,1247449097.133518,7759438.683613
coop1,3,396.000000,26,0.007568,0.007600,80397.770392,539.283682,1.260309,0.753235,149.055698,17.100434,1256215162.367823,8426307.524413
coop1,3,396.000000,28,0.005165,0.000133,81042.088132,604.376089,1.034718,0.033516,150.090206,9.204520,1266282627.063342,9443376.390633
coop1,3,396.000000,30,0.005139,0.000088,81219.850240,367.913964,1.011358,0.049441,159.812353,14.068087,1269060160.000043,5748655.690602
coop1,3,396.000000,32,0.005179,0.000104,80684.800697,320.749398,1.022117,0.038075,142.626351,7.738022,1260700010.888890,5011709.341455
coop1,3,396.000000,34,0.005110,0.000097,81755.899170,208.484682,1.057850,0.069706,155.912476,12.878470,1277435924.535580,3257573.149487
coop1,3,396.000000,36,0.005175,0.000100,80699.201792,691.575788,1.031056,0.043667,156.156429,12.775915,1260925027.994830,10805871.687235
coop1,3,396.000000,38,0.005171,0.000090,80709.144180,587.374106,1.033625,0.041498,152.194344,12.054768,1261080377.817219,9177720.405822
coop1,3,396.000000,40,0.008061,0.009078,80010.851592,391.877893,1.330250,0.915097,147.383189,13.265403,1250169556.118580,6123092.082409
coop1,3,396.000000,42,0.007237,0.006361,79468.140630,324.792041,1.260409,0.636285,150.121594,14.366808,1241689697.338483,5074875.640256
coop1,3,396.000000,44,0.005310,0.000079,78557.046577,327.777510,1.030701,0.046413,149.895751,11.737507,1227453852.761423,5121523.597621
coop1,3,396.000000,46,0.005249,0.000066,79398.316928,376.104137,1.070079,0.052395,157.475723,11.996083,1240598702.002225,5876627.136585
coop1,3,396.000000,48,0.005335,0.000072,78148.064402,424.817372,1.058627,0.032624,157.925290,9.660601,1221063506.278535,6637771.434705
