NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),IdleCPUPower(W),AvgTime(S),SDTime,AvgEnergyUsage(J),SDEnergy,AvgPowerConsumption(W),SDPowerConsumption,TotalFLOP,AvgFLOPS,SDFLOPS,AvguJ/FLOP,SDuJ/FLOP
coop1,0,-,48,67,37.090534,1.278309,0.010543,85.564447,0.600603,66.832152,0.078063,26957817117,21090061762.358223,170766746.870357,0.003174,0.000022
coop1,1,-,48,67,34.099232,1.178811,0.001296,78.944800,0.097519,66.823095,0.029339,26957817117,22868676106.962444,25145815.414011,0.002928,0.000004
coop1,2,-,48,67,35.003815,1.257471,0.002208,84.177722,0.154909,66.818330,0.022962,26957817117,21438189487.221981,37679710.391571,0.003123,0.000006
coop1,3,-,48,67,34.724156,1.159607,0.004794,77.641889,0.325298,66.823215,0.024454,26957817117,23247770035.160397,96393467.419182,0.002880,0.000012
