NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),FLOPS(Job),PeakFLOPS,Utility,Throughput(FLOPS),Score
coop1,1,-,48,157,62608910920.000000,42754415266.017265,1.464385,41096549699.778000,1.464385
coop1,0,-,48,157,63010195005.000000,44162237379.040298,1.426789,34346892913.524437,1.192455
coop1,3,-,48,157,62320392327.000000,46204195073.298294,1.348804,36010720874.920273,1.181885
coop1,2,-,48,157,62263634752.000000,48524904956.518646,1.283127,37341213280.792709,1.165877
