NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),FLOP,uJ/FLOP,Score
coop1,3,-,48,90,146811788301.000000,0.003209,-471119028.657909
coop1,2,-,48,90,146811788301.000000,0.003239,-475523382.306939
coop1,1,-,48,90,146811788466.000000,0.003497,-513400824.265602
coop1,0,-,48,90,146811788302.000000,0.003688,-541441875.257776
