NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),IdleCPUPower(W),AvgTime(S),SDTime,AvgEnergyUsage(J),SDEnergy,AvgPowerConsumption(W),SDPowerConsumption,TotalFLOP,AvgFLOPS,SDFLOPS,AvguJ/FLOP,SDuJ/FLOP
coop1,0,-,48,112,37.379839,0.982024,0.003348,109.837891,0.402368,111.680607,0.061420,26957817117,27451609667.886822,93772508.219643,0.004074,0.000015
coop1,1,-,48,112,33.660416,0.934273,0.001956,104.566785,0.191687,111.728662,0.077150,26957817117,28854466800.410378,60599908.878128,0.003879,0.000007
coop1,2,-,48,112,35.001969,0.860735,0.001304,96.495459,0.463649,111.697880,0.102755,26957817117,31319617132.908142,47485005.258108,0.003579,0.000017
coop1,3,-,48,112,35.040860,0.823125,0.002154,92.169421,0.239678,111.720460,0.058235,26957817117,32750800821.224312,85958993.887276,0.003419,0.000009
