NodeId,SocketId,TotalMemoryRequest(MiB),NumberOfThreads,AvgTime(S),SDTime,Bandwidth(MB/s),SDBandwidth,AvgEnergyUsage(J),SDEnergyUsage,AvgPowerUsage(W),SDPowerUsage,AccessFrequency(line/s),SDAccessFrequency
coop1,2,396.000000,2,0.029618,0.000233,14045.922618,76.649820,3.819680,0.062487,122.855151,1.659238,219467540.902759,1197653.436854
coop1,2,396.000000,4,0.015486,0.000161,26895.939529,113.128923,2.289956,0.065164,131.263369,4.133811,420249055.143159,1767639.425756
coop1,2,396.000000,6,0.012589,0.005748,38548.857643,52.749717,1.989574,0.596974,144.260580,8.858371,602325900.674686,824214.330045
coop1,2,396.000000,8,0.008647,0.000432,48770.767070,769.322018,1.525435,0.072695,148.637512,7.008495,762043235.462584,12020656.527825
coop1,2,396.000000,10,0.007276,0.000330,57897.381179,385.629593,1.386525,0.076404,152.436864,4.422425,904646580.925413,6025462.390296
coop1,2,396.000000,12,0.007021,0.001738,64165.791417,759.164440,1.337380,0.229844,153.906173,7.756957,1002590490.895200,11861944.377933
coop1,2,396.000000,14,0.005951,0.000085,70088.597402,232.254094,1.170127,0.053679,148.104063,7.838299,1095134334.403285,3628970.220881
coop1,2,396.000000,16,0.005778,0.000096,72228.608762,417.867707,1.150357,0.047809,152.903562,8.444579,1128572011.904351,6529182.915807
coop1,2,396.000000,18,0.006766,0.003677,74109.966648,558.385823,1.248014,0.407545,147.846291,13.139364,1157968228.869177,8724778.488827
coop1,2,396.000000,20,0.005429,0.000099,76905.369497,469.813335,1.127092,0.031825,159.182657,7.343673,1201646398.387215,7340833.363514
coop1,2,396.000000,22,0.005544,0.000074,75209.963473,289.101719,1.126598,0.037053,159.132041,8.163741,1175155679.264032,4517214.362724
coop1,2,396.000000,24,0.005262,0.000130,79529.913374,289.026177,1.100930,0.058910,157.275714,8.415684,1242654896.475642,4516034.010814
coop1,2,396.000000,26,0.005196,0.000109,80427.680980,434.904105,1.098455,0.059996,151.321687,8.417955,1256682515.305580,6795376.633737
coop1,2,396.000000,28,0.005214,0.000079,80009.247095,289.415965,1.102117,0.057286,160.460566,15.231347,1250144485.863945,4522124.447246
coop1,2,396.000000,30,0.005165,0.000157,81178.372162,295.574332,1.120766,0.034972,160.525517,8.129882,1268412065.030719,4618348.941155
coop1,2,396.000000,32,0.005165,0.000077,80764.712648,245.924831,1.109969,0.066485,158.924499,10.398364,1261948635.121203,3842575.484441
coop1,2,396.000000,34,0.005148,0.000096,81136.794853,241.933038,1.102694,0.055565,156.135781,11.597284,1267762419.578799,3780203.720606
coop1,2,396.000000,36,0.005188,0.000097,80504.544526,390.567267,1.112482,0.054278,161.336504,10.910193,1257883508.213412,6102613.541362
coop1,2,396.000000,38,0.005241,0.000092,79642.448725,461.047666,1.112116,0.058051,163.766052,14.203313,1244413261.333445,7203869.777981
coop1,2,396.000000,40,0.005276,0.000137,79096.358153,1723.679716,1.107150,0.034554,156.925067,12.131514,1235880596.137435,26932495.558641
coop1,2,396.000000,42,0.005221,0.000076,79892.847950,281.718041,1.130232,0.033620,158.239896,11.655365,1248325749.224922,4401844.392145
coop1,2,396.000000,44,0.005367,0.000056,77568.792673,523.823788,1.155584,0.047789,161.419265,11.632135,1212012385.512639,8184746.681044
coop1,2,396.000000,46,0.005276,0.000048,78915.842798,229.204787,1.094688,0.073633,158.711026,7.454986,1233060043.714489,3581324.795758
coop1,2,396.000000,48,0.006632,0.004197,78274.410323,97.387285,1.263400,0.464168,156.339894,11.445813,1223037661.298680,1521676.332174
