NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),IdleCPUPower(W),AvgTime(S),SDTime,AvgEnergyUsage(J),SDEnergy,AvgPowerConsumption(W),SDPowerConsumption,TotalFLOP,AvgFLOPS,SDFLOPS,AvguJ/FLOP,SDuJ/FLOP
coop1,0,-,48,90,37.400557,1.106089,0.001454,99.413617,0.102817,89.747841,0.070071,26957817117,24372235966.936359,32071630.117127,0.003688,0.000004
coop1,1,-,48,90,33.618390,1.048174,0.001687,94.267603,0.149169,89.770159,0.042146,26957817117,25718909672.963177,41375444.249253,0.003497,0.000006
coop1,2,-,48,90,35.401397,0.970621,0.001526,87.305615,0.139264,89.746733,0.057784,26957817117,27773848563.655586,43627429.607797,0.003239,0.000005
coop1,3,-,48,90,35.081343,0.961899,0.001641,86.518701,0.115210,89.759073,0.061840,26957817117,28025692662.214275,47846524.811672,0.003209,0.000004
