NodeId,SocketId,LLCMisses,DynamicEnergyPerLine(uJ/line),Score
coop1,2,4258506597.000000,0.030305,-129051913.168787
coop1,3,4247226051.000000,0.034527,-146643973.862877
coop1,0,4275196525.000000,0.036088,-154282009.635242
coop1,1,4259994318.000000,0.036547,-155690012.339946
