NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),IdleCPUPower(W),AvgTime(S),SDTime,AvgEnergyUsage(J),SDEnergy,AvgPowerConsumption(W),SDPowerConsumption,TotalFLOP,AvgFLOPS,SDFLOPS,AvguJ/FLOP,SDuJ/FLOP
coop1,0,-,48,225,37.159496,0.610944,0.017461,141.598938,2.945905,231.597780,11.863897,26957817117,44162237379.040298,1308351055.640243,0.005253,0.000109
coop1,1,-,48,225,33.279556,0.630910,0.015272,146.043244,4.173456,231.204599,12.645200,26957817117,42754415266.017265,1072926889.844309,0.005417,0.000155
coop1,2,-,48,225,34.828331,0.556100,0.017182,130.299298,3.636226,233.006561,14.766742,26957817117,48524904956.518646,1564836819.210414,0.004833,0.000135
coop1,3,-,48,225,34.761655,0.584045,0.018234,135.959570,3.687818,232.608534,14.107410,26957817117,46204195073.298294,1507756921.577014,0.005043,0.000137
