NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),FLOPS(Job),PeakFLOPS,Utility,Throughput(FLOPS),Score
coop1,0,-,48,225,15414721138.000000,44162237379.040298,0.349048,44162237379.040298,0.317666
coop1,3,-,48,225,15295553277.000000,46204195073.298294,0.331043,46204195073.298294,0.315210
coop1,1,-,48,225,15269300576.000000,42754415266.017265,0.357140,42754415266.017265,0.314669
coop1,2,-,48,225,15244469802.000000,48524904956.518646,0.314158,48524904956.518646,0.314158
