NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),FLOP,uJ/FLOP,Score
coop1,3,-,48,67,540245170666.000000,0.002880,-1555906091.518080
coop1,1,-,48,67,540245170680.000000,0.002928,-1581837859.751040
coop1,2,-,48,67,540245170666.000000,0.003123,-1687185667.989918
coop1,0,-,48,67,540245170673.000000,0.003174,-1714738171.716102
