NodeId,SocketId,CPUId,NumberOfThreads,PowerLimit(W),FLOP,uJ/FLOP,Score
coop1,1,-,48,45,146811788466.000000,0.016979,-2492717356.364214
coop1,3,-,48,45,146811788301.000000,0.020080,-2947980709.084080
coop1,2,-,48,45,146811788301.000000,0.020093,-2949889262.331993
coop1,0,-,48,45,146811788302.000000,0.025027,-3674258625.834154
