NodeId,SocketId,LLCMisses,DynamicEnergyPerLine(uJ/line),Score
coop1,2,2456583007.000000,0.030305,-74445519.735632
coop1,3,2461399633.000000,0.034527,-84984745.128591
coop1,0,2463652913.000000,0.036088,-88907567.228470
coop1,1,2468420955.000000,0.036547,-90213380.642385
